feature,type,dR2_nat,dR2_log,dKGE,dAlpha,dRMSE,dBias
phase5_baseline,baseline,0,0,0,0,0,0
turbidity_instant,drop,-0.0490,-0.1610,-0.1320,-0.1090,27.0,-3.9
pct_alluvial_coastal,drop,-0.0280,-0.0010,-0.0060,0.0040,15.9,-2.6
sgmc_sedimentary_iron_formation_undifferentiated,drop,-0.0260,-0.0040,-0.0040,0.0020,14.5,-1.2
sgmc_igneous_intrusive,drop,-0.0220,0.0020,-0.0010,0.0020,12.1,-0.7
conductance_instant,drop,-0.0190,-0.0020,0.0030,0.0040,10.6,1.6
pct_eolian_coarse,drop,-0.0180,-0.0080,0.0020,0.0100,10.3,3.3
sgmc_metamorphic_amphibolite,drop,-0.0140,-0.0030,-0.0060,-0.0020,8.1,-1.1
sgmc_metamorphic_gneiss,drop,-0.0130,-0.0060,-0.0010,0.0040,7.4,0.6
elevation_m,drop,-0.0110,-0.0090,0.0010,0.0060,6.2,-0.7
clay_pct,drop,-0.0110,-0.0060,-0.0040,0.0030,6.5,-0.2
turbidity_max_1hr,drop,-0.0100,-0.0050,0.0010,0.0060,5.9,0.8
precip_7d,drop,-0.0100,-0.0050,-0.0040,0.0020,5.6,-0.8
rising_limb,drop,-0.0100,-0.0020,-0.0070,0.0040,5.6,-2.6
turbidity_std_1hr,drop,-0.0090,-0.0050,-0.0020,0.0020,5.3,2.3
sgmc_metamorphic_sedimentary,drop,-0.0090,-0.0040,-0.0030,0.0040,5.2,-1.2
soil_organic_matter,drop,-0.0090,-0.0060,-0.0040,0.0030,5.5,-0.8
sgmc_igneous_undifferentiated,drop,-0.0090,-0.0060,-0.0060,-0.0060,5.5,-0.6
agriculture_pct,drop,-0.0080,-0.0080,-0.0080,-0.0040,5.8,-0.8
sgmc_tectonite_undifferentiated,drop,-0.0080,-0.0030,-0.0030,0.0030,5.2,-0.3
sgmc_igneous_sedimentary_undifferentiated,drop,-0.0070,-0.0010,-0.0010,0.0030,4.7,-0.0
sgmc_metamorphic_intrusive,drop,-0.0070,-0.0040,-0.0040,0.0000,4.7,-0.4
sgmc_metamorphic_granulite,drop,-0.0070,-0.0010,-0.0010,0.0030,4.7,-0.1
doy_sin,drop,-0.0070,-0.0020,-0.0020,0.0020,4.7,-0.2
drainage_area_km2,drop,-0.0070,-0.0070,-0.0070,-0.0030,4.7,-0.7
sgmc_igneous_metamorphic_undifferentiated,drop,-0.0060,-0.0050,-0.0050,-0.0010,4.2,-0.5
wetness_index,drop,-0.0060,-0.0050,-0.0050,-0.0010,4.2,-0.5
turb_below_detection,drop,-0.0050,-0.0120,-0.0050,-0.0050,3.7,-0.5
Q_7day_mean,drop,-0.0050,-0.0010,-0.0010,0.0030,3.7,-0.1
wwtp_minor_density,drop,-0.0050,0.0000,0.0000,0.0000,3.7,0.0
fertilizer_rate,drop,-0.0040,-0.0090,-0.0090,-0.0090,2.8,-0.9
precip_48h,drop,-0.0040,-0.0050,-0.0050,-0.0050,2.8,-0.4
baseflow_index,drop,-0.0030,-0.0030,-0.0030,-0.0030,2.3,-0.3
turb_source,drop,-0.0030,-0.0060,-0.0060,-0.0060,2.3,-0.6
sgmc_sedimentary_clastic,drop,-0.0030,-0.0060,-0.0060,-0.0060,2.3,-0.6
flush_intensity,drop,-0.0030,-0.0110,-0.0110,-0.0110,2.3,-1.1
doy_cos,drop,-0.0030,-0.0070,-0.0070,-0.0070,2.3,-0.7
longitude,drop,-0.0020,-0.0090,-0.0090,-0.0090,1.8,-0.9
nitrogen_surplus,drop,-0.0020,-0.0010,-0.0010,0.0010,1.8,-0.1
sgmc_metamorphic_other,drop,-0.0020,-0.0060,-0.0060,-0.0060,1.8,-0.6
sgmc_melange,drop,-0.0020,-0.0070,-0.0070,-0.0070,1.8,-0.7
sgmc_metamorphic_undifferentiated,drop,-0.0020,-0.0080,-0.0080,-0.0080,1.8,-0.8
discharge_slope_2hr,drop,-0.0010,0.0010,0.0010,0.0010,1.3,0.1
sensor_offset,drop,-0.0010,-0.0020,-0.0020,-0.0020,1.3,-0.2
temp_instant,drop,-0.0010,-0.0040,-0.0040,-0.0040,1.3,-0.4
sand_pct,drop,-0.0010,-0.0060,-0.0060,-0.0060,1.3,-0.6
days_since_last_visit,drop,-0.0010,-0.0080,-0.0080,-0.0080,1.3,-0.8
sgmc_metamorphic_schist,drop,-0.0010,-0.0070,-0.0070,-0.0070,1.3,-0.7
developed_pct,drop,-0.0010,-0.0080,-0.0080,-0.0080,1.3,-0.8
precip_30d,drop,0.0000,-0.0070,-0.0070,-0.0070,0.0,-0.7
collection_method,drop,0.0000,-0.0110,-0.0110,-0.0110,0.0,-1.1
pct_carbonate_resid,drop,0.0000,-0.0100,-0.0100,-0.0100,0.0,-1.0
pct_eolian_fine,drop,0.0000,-0.0050,-0.0050,-0.0050,0.0,-0.5
forest_pct,drop,0.0000,-0.0070,-0.0070,-0.0070,0.0,-0.7
sgmc_metamorphic_sedimentary_clastic,drop,0.0010,-0.0040,0.0000,0.0040,-1.0,-0.4
sensor_family,drop,0.0010,-0.0030,0.0030,0.0030,-1.0,-0.3
geo_fe2o3,drop,0.0010,-0.0010,-0.0010,-0.0010,-1.0,-0.1
sgmc_water,drop,0.0010,-0.0130,-0.0060,-0.0130,-1.0,-1.3
sgmc_metamorphic_sedimentary_undifferentiated,drop,0.0020,-0.0100,-0.0110,-0.0100,-1.5,-1.0
DO_sat_departure,drop,0.0020,-0.0030,-0.0080,-0.0030,-1.5,-0.5
sgmc_unconsolidated_sedimentary_undifferentiated,drop,0.0020,0.0000,0.0000,0.0000,-1.5,0.0
wwtp_all_density,drop,0.0020,-0.0090,-0.0020,-0.0090,-1.5,-0.9
pct_colluvial_sediment,drop,0.0020,-0.0040,-0.0040,-0.0040,-1.5,-0.4
sgmc_sedimentary_undifferentiated,drop,0.0030,-0.0010,0.0010,0.0040,-1.5,0.0
sgmc_metamorphic_carbonate,drop,0.0030,-0.0090,-0.0040,0.0030,-1.4,0.1
sgmc_unconsolidated_undifferentiated,drop,0.0030,-0.0040,-0.0030,-0.0050,-1.6,-2.0
turb_Q_ratio,drop,0.0040,-0.0130,-0.0100,0.0030,-2.4,-0.7
sgmc_igneous_volcanic,drop,0.0050,-0.0120,-0.0100,0.0000,-2.8,-1.6
sgmc_metamorphic_volcanic,drop,0.0050,-0.0030,-0.0040,0.0060,-2.7,-0.3
dam_storage_density,drop,0.0070,-0.0060,-0.0030,-0.0010,-3.7,-0.3
sgmc_metamorphic_serpentinite,drop,0.0070,-0.0110,-0.0090,-0.0060,-3.6,-0.4
sgmc_sedimentary_carbonate,drop,0.0080,-0.0050,-0.0080,0.0030,-4.2,-2.1
sgmc_sedimentary_chemical,drop,0.0090,-0.0050,-0.0050,0.0100,-5.1,1.6
do_instant,reintroduce,0.0030,-0.0090,-0.0040,0.0030,-1.6,0.6
ph_instant,reintroduce,0.0010,-0.0030,-0.0050,0.0000,-0.4,-2.2
temp_at_sample,reintroduce,0.0010,-0.0010,-0.0040,0.0060,-0.7,-3.0
precip_24h,reintroduce,0.0000,-0.0110,-0.0050,0.0010,0.2,-2.5
water_table_depth,reintroduce,-0.0010,-0.0060,-0.0060,0.0010,0.8,-3.0
soil_erodibility,reintroduce,-0.0020,-0.0080,-0.0060,0.0010,1.1,-2.4
slope_pct,reintroduce,-0.0020,-0.0040,-0.0040,0.0050,1.0,-3.0
discharge_instant,reintroduce,-0.0060,-0.0060,-0.0060,0.0000,3.2,-1.1
soil_permeability,reintroduce,-0.0070,-0.0070,-0.0020,-0.0050,3.8,-1.9
temp_mean_c,reintroduce,-0.0090,-0.0020,-0.0010,0.0040,5.0,-1.6
